	B cell	CD14+ monocyte	CD16+ monocyte	CD4+ T cell	Cytotoxic T cell	Megakaryocyte	Natural killer cell
ptpn6	306390.3419413566	-276573.40127944946	635086.1798286438	-84720.59010028839	41187.15494775773	-1886.0780830383305	40447.210946083076
cd68	-2082.264887809754	-261805.931388855	457784.57871246344	-146.2573657035828	-333.3309724330902	-11709.689658164978	-82.91677427291872
ptdss1	29338.339382171634	-34391.18467712403	21563.71396446228	40145.31193971634	-72677.46798992157	-1363.2834032177927	11751.294593811035
atp5b	-39925.16112113	-224622.80571937564	365524.38507843023	905201.4393882751	-1042107.0070762635	-717.7638587951662	34782.37851190568
prrc2c	938692.3841857911	-272998.662938118	-10657.765358209612	551505.6946716309	47856.87573033571	-1035.4145936965942	-174094.31112241745
ywhab	-1993675.5266132352	640053.7231636047	414624.2893676758	2637318.168930054	360566.78722476965	-20438.84353637695	-305815.00797271734
tmbim6	-778984.767791748	182150.1069331169	142350.95642089847	-341472.35816478735	-302044.54926109314	9547.905056476595	358087.2642860413
hcls1	-523775.05337905884	140051.75487327573	601071.6404342653	-954774.4780197145	1184997.1270027163	-85.64806938171387	125694.55521965028
vmp1	4716.201390981674	-286380.50342226034	227705.55222129825	-34052.74230480195	34783.31335878372	-1447.6223936080933	-21954.512441158295
rpl10a	5032414.364356995	-2872298.201145172	-572476.9094543458	656858.7000689507	4108913.348800659	4305.275259733201	56371.86589598656
fgr	-43199.562658309944	-488153.91376876837	837009.0170364379	-21739.811031341556	292256.99439430237	-1899.607242584229	-15934.673697233202
znf292	-160838.86729717255	39498.51673030853	4190.548867583276	810166.4717102052	-429914.0943202973	-0.6377740502357484	-80691.27195739748
ptprc	-1043747.77882576	884096.0000267029	53768.49072504044	2930290.1097183228	949485.8038573266	-5473.704299926758	-855217.0407161713
cd44	-899089.2609329225	899496.6502132416	611770.4867553711	852561.335062027	-160230.8790445328	-2380.7940635681157	-201657.42461585999
hsp90ab1	316785.83042860037	-224997.0003962517	127955.23870849612	25972.68558838963	-705949.9174499513	-1088.1626341342926	182070.07721710208
rgs2	-44587.79747772217	4472519.2201423645	-49102.545351982124	-36651.06865596772	-20552.464632511143	-2889.515331268311	11706.558037281038
ppia	-1912357.5611000063	-555478.6473665237	810961.3856773376	-1083385.4443016055	391045.4156417847	-17548.94222259522	950106.7848129272
hnrnpc	-628432.0171794893	1166032.500480652	-212188.75701808932	1856812.1887435915	883697.8176383973	-6378.0838832855225	-925308.44745636
ahnak	-795907.339782715	1168216.4410829544	85785.8422112465	1071291.2237510683	194878.53893852237	-1138.1106798648832	-656847.2149391175
crtap	-53751.881042480476	66078.7856526375	150651.22030448914	-92945.51467895509	9894.475270986559	-252.8584183454514	-9388.595009803774
hspa5	6360.827486336232	39774.22072291375	-7055.6199865341205	-777596.7790374757	873016.2371673585	-41.03078484535218	191735.6722068787
