	B cell	CD14+ monocyte	CD16+ monocyte	CD4+ T cell	Cytotoxic T cell	Megakaryocyte	Natural killer cell
tpt1	320.9552940656573	184.7894159979968	-64.72521116190676	-84.8587439324138	570.1811890090812	-21.325104762216128	18.165303199856247
gnly	-96.32951851819013	-40.277674317886756	1.514896832706206	-130.8291728805427	521.0209819747788	-5.535963013196017	1410.0240318879937
tsc22d3	-40.50117975977671	-59.62117926872626	-120.216585221541	56.658991959265805	154.8040414110758	14.391211419390768	70.87188204759286
txnip	439.0065936085069	110.83467397834238	-10.918219661770348	495.64477359406374	-122.94186281224411	-13.279315793367697	99.42218660782149
tagln2	-13.37732237675864	-158.32794559469417	-27.08860512926156	14.80046591503523	-96.26001380141436	89.04722722081559	78.70083975149106
oaz1	68.52741513191991	-377.31633707061667	-42.3988932731161	-271.4033508811507	-70.20476194638036	130.86342782215866	60.57218246568442
rplp0	372.4124426031035	-178.16072592936524	-21.656618516763398	98.5514966423583	266.1282519087276	-5.660293585206214	50.543980243082785
ighm	1228.2457839078495	-6.365048340552124	-5.105514926141247	-0.3018367504148683	-24.2417915769637	-0.11979826146611705	1.1150278778184186
gapdh	-81.26276472000106	-15.319194955229186	-56.750516508809	-615.4366785011315	181.77398015404574	49.44889684161916	62.03864064328248
ctss	-120.80662359413495	21.944388063675163	74.88782642976699	-40.19908589873101	-30.842972439598654	-0.9526179790447984	44.73358565799702
rps3a	152.10175991885816	-371.7384657836021	-22.645048606157935	313.6430465348474	378.2591290308045	-4.9671416990083275	77.7419135033987
rps6	51.885269882162305	283.5753620232217	-80.44107134563063	155.97441478466558	-42.959798447705474	-11.442864128419368	35.195480613712924
hla-a	192.0204927321657	-356.824617185928	-39.289499169124454	298.0701683451571	136.24515427955836	-15.42421582096569	123.36271059154353
fos	10.967195075187064	467.03805999539975	-2.7456623300477774	268.3741709661613	-54.17555547755481	-5.32395096019367	-60.21774489451859
cst3	6.066075681477962	-196.88082621167146	-24.107558453102364	-8.281727822095153	-13.16343922901263	4.151770101196865	24.717574933879085
laptm5	388.6552156935713	-80.7374028930328	-3.7996069688710583	-11.169278740602733	360.9842071368129	-9.181307295013719	31.034760743336786
arpc1b	-204.26729927107434	-258.44011553643537	-42.223666083041586	-96.46993329630281	127.75424667326084	66.6140486761406	67.24416528942774
rps4x	189.3187344717135	63.67044872650264	0.5358359062156586	-207.3978358761425	301.21323972850615	-6.064668016965899	-19.814196972447903
rps3	-125.7592377082434	-13.44774476510867	-56.3389149752845	7.209140742448909	376.40994054505154	-5.391895914577155	49.54723769413857
gnb2l1	77.10666269301049	-111.66451063410685	-21.194183563896523	-391.0821331234678	634.8084042782596	-2.772155342109569	35.809143123034644
ddx5	-104.20221080271416	-22.2223849828235	-49.32848089209047	91.84923225214331	318.81909963043455	-4.370448000402371	171.30381618855162
rpl5	260.6790066191314	137.32698205417017	-42.19936104023645	26.125757443110505	234.83221357845602	-7.0461922587302945	49.05218487114942
pfn1	-109.93760585375102	-337.93298983572066	-97.37542905454782	287.35843472010276	390.1324242967513	0.7084350758813277	212.04832158233165
hla-c	13.051237066178864	-401.44997605808607	-15.72550490994935	51.41809673275903	563.683022177624	-6.816529918180562	75.99570358537221
